id	name	phenotype	bigg_id
BG10783	asd	essential	BSU16750
BG10785	dapA	essential	BSU16770
BG10944	glyA	essential	BSU36900
BG10948	glmS	essential	BSU01780
BG10950	alr	essential	
BG11207	dapB	essential	BSU22490
BG13301	ykuQ	essential	
BG13302	ykuR	essential	
BG14048	dapF	essential	BSU32170
BG11964	racE	essential	BSU28390
BG11840	metK	essential	BSU30550
BG10091	yaaO	non-essential	BSU00270
BG10136	cysK	non-essential	BSU00730
BG10155	cysE	non-essential	BSU00930
BG10195	carA	non-essential	BSU11230
BG10196	carB	non-essential	BSU11240
BG10212	speA	non-essential	BSU14630
BG10284	aroF	non-essential	BSU22710
BG10285	aroB	non-essential	BSU22700
BG10286	aroH	non-essential	BSU22690
BG10287	trpE	non-essential	BSU22680
BG10288	trpD	non-essential	BSU22670
BG10289	trpF	non-essential	BSU22650
BG10290	trpB	non-essential	BSU22640
BG10291	trpA	non-essential	BSU22630
BG10292	hisC	non-essential	BSU22620
BG10293	tyrA	non-essential	BSU22610
BG10294	aroE	non-essential	
BG10300	ansA	non-essential	BSU23580
BG10301	ansB	non-essential	BSU23570
BG10340	hemA	non-essential	BSU28170
BG10350	lysC	non-essential	BSU28470
BG10375	aroA	non-essential	BSU22600
BG10425	glnA	non-essential	BSU17460
BG10457	aroK	non-essential	BSU03150
BG10460	hom	non-essential	BSU32260
BG10461	thrC	non-essential	BSU32250
BG10468	ald	non-essential	BSU31930
BG10471	alsS	non-essential	BSU36010
BG10509	serA	non-essential	BSU23070
BG10538	aroC	non-essential	BSU23080
BG10546	ywaA	non-essential	
BG10621	rocG	non-essential	BSU37790
BG10629	ywfE	non-essential	
BG10667	hutH	non-essential	BSU39350
BG10668	hutU	non-essential	BSU39360
BG10670	ilvB	non-essential	BSU28310
BG10672	ilvC	non-essential	BSU28290
BG10673	ilvA	non-essential	BSU21770
BG10675	leuB	non-essential	BSU28270
BG10715	pyrAA	non-essential	BSU15510
BG10716	pyrAB	non-essential	BSU15520
BG10722	rocD	non-essential	BSU40340
BG10736	rsbX	non-essential	BSU04740
BG10784	dapG	non-essential	BSU16760
BG10811	gltA	non-essential	BSU18450
BG10841	proG	non-essential	BSU12910
BG10842	dppA	non-essential	BSU12920
BG10932	rocF	non-essential	
BG10963	proB	non-essential	BSU13120
BG10964	proA	non-essential	BSU13130
BG11038	trpC	non-essential	BSU22660
BG11049	proH	non-essential	BSU18480
BG11096	nasD	non-essential	BSU03300
BG11097	nasE	non-essential	BSU03290
BG11099	hutG	non-essential	BSU39380
BG11100	hutI	non-essential	BSU39370
BG11116	asnH	non-essential	BSU39920
BG11117	mmsA	non-essential	BSU39760
BG11435	gudB	non-essential	BSU22960
BG11522	aroD	non-essential	BSU25660
BG11532	ilvD	non-essential	BSU21870
BG11627	msrA	non-essential	BSU21690
BG11628	yppQ	non-essential	
BG11723	bcd	non-essential	BSU24080
BG11744	proI	non-essential	BSU23800
BG11747	dsdA	non-essential	BSU23770
BG11831	asnB	non-essential	BSU30540
BG11838	ggt	non-essential	BSU18410
BG11930	cysH	non-essential	BSU15570
BG11948	leuA	non-essential	BSU28280
BG11949	leuC	non-essential	BSU28260
BG11950	leuD	non-essential	BSU28250
BG11981	ureA	non-essential	BSU36660
BG11982	ureB	non-essential	BSU36650
BG11983	ureC	non-essential	BSU36640
BG12011	ycgM	non-essential	
BG12033	yclM	non-essential	BSU03790
BG12043	gabT	non-essential	BSU03900
BG12044	gabD	non-essential	BSU03910
BG12240	asnO	non-essential	BSU10790
BG12290	yrhA	non-essential	
BG12291	yrhB	non-essential	
BG12306	yrpC	non-essential	BSU26810
BG12362	alaT	non-essential	
BG12460	speE	non-essential	BSU37500
BG12461	speB	non-essential	BSU37490
BG12597	hisA	non-essential	BSU34880
BG12601	hisG	non-essential	BSU34920
BG12602	hisH	non-essential	BSU34890
BG12610	kbl	non-essential	BSU17000
BG12658	proJ	non-essential	BSU18470
BG12673	serC	non-essential	BSU10020
BG12685	tdh	non-essential	BSU16990
BG12749	ybgE	non-essential	
BG12753	ybgJ	non-essential	
BG12914	yfjR	non-essential	BSU07990
BG13147	goxB	non-essential	
BG13162	yjcI	non-essential	
BG13163	yjcJ	non-essential	
BG13278	ykrS	non-essential	
BG13279	ykrT	non-essential	
BG13281	ykrV	non-essential	
BG13282	ykrW	non-essential	
BG13283	ykrX	non-essential	
BG13284	ykrY	non-essential	
BG13285	ykrZ	non-essential	
BG13350	ylaM	non-essential	
BG13371	ylmB	non-essential	
BG13379	cysC	non-essential	BSU15600
BG13397	sdaAB	non-essential	BSU15850
BG13398	sdaAA	non-essential	BSU15860
BG13542	kamA	non-essential	BSU19690
BG13800	mtn	non-essential	
BG13832	speD	non-essential	BSU29010
BG10906	bltD	non-essential	BSU26600
BG11933	def	non-essential	
BG13931	hisJ	non-essential	BSU29620
BG10109	ispE	essential	BSU00460
BG10403	yvyH	essential	
BG11366	gpsA	essential	BSU22830
BG11715	dxs	essential	BSU24270
BG12704	ybbT	essential	
BG13409	dxr	essential	BSU16550
BG10207	pdhA	essential	BSU14580
BG10273	odhB	essential	BSU19360
BG10412	fbaA	essential	BSU37120
BG10897	tpiA	essential	BSU33920
BG11062	pgk	essential	BSU33930
BG11247	tkt	essential	BSU17890
BG12644	pfkA	essential	BSU29190
BG13328	ykwC	non-essential	BSU13960
BG10043	maa	non-essential	BSU40850
BG10177	gutB	non-essential	BSU06150
BG10187	glpK	non-essential	BSU09290
BG10188	glpD	non-essential	BSU09300
BG10189	yhxB	non-essential	
BG10208	pdhB	non-essential	BSU14590
BG10209	pdhC	non-essential	BSU14600
BG10210	pdhD	non-essential	BSU14610
BG10272	odhA	non-essential	BSU19370
BG10351	sdhC	non-essential	BSU28450
BG10352	sdhA	non-essential	BSU28440
BG10353	sdhB	non-essential	BSU28430
BG10367	acuC	non-essential	BSU29710
BG10368	acuB	non-essential	BSU29700
BG10369	acuA	non-essential	BSU29690
BG10370	acsA	non-essential	BSU29680
BG10384	citG	non-essential	
BG10413	ywjH	non-essential	BSU37110
BG10454	pmi	non-essential	
BG10472	alsD	non-essential	BSU36000
BG10473	amyE	non-essential	BSU03040
BG10478	citB	non-essential	BSU18000
BG10545	gdh	non-essential	BSU03930
BG10581	galK	non-essential	BSU38200
BG10582	galT	non-essential	BSU38190
BG10596	sacA	non-essential	BSU38040
BG10634	pta	non-essential	BSU37660
BG10649	gntK	non-essential	BSU40060
BG10669	idh	non-essential	
BG10806	xylA	non-essential	BSU17600
BG10807	xylB	non-essential	BSU17610
BG10813	ackA	non-essential	BSU29470
BG10827	gapA	non-essential	BSU33940
BG10854	citA	non-essential	BSU09440
BG10855	citZ	non-essential	BSU29140
BG10856	icd	non-essential	BSU29130
BG10907	glgB	non-essential	BSU30980
BG10908	glgC	non-essential	BSU30970
BG10909	glgD	non-essential	BSU30960
BG10910	glgA	non-essential	BSU30950
BG10911	glgP	non-essential	BSU30940
BG10926	pksG	non-essential	BSU17150
BG10935	bglH	non-essential	BSU39260
BG10942	ywlF	non-essential	BSU36920
BG11010	treA	non-essential	BSU07810
BG11103	yxaA	non-essential	
BG11109	yxaG	non-essential	
BG11118	iolB	non-essential	BSU39750
BG11119	iolC	non-essential	BSU39740
BG11120	iolD	non-essential	BSU39730
BG11121	iolE	non-essential	BSU39720
BG11125	fbaB	non-essential	
BG11153	scoA	non-essential	
BG11154	scoB	non-essential	
BG11158	ycbC	non-essential	BSU02460
BG11161	ycbF	non-essential	
BG11163	ycbH	non-essential	
BG11198	phy	non-essential	BSU19800
BG11203	bglA	non-essential	BSU40110
BG11211	mgsA	non-essential	BSU22480
BG11216	mtlD	non-essential	BSU03990
BG11222	ycsA	non-essential	BSU04000
BG11322	mmgD	non-essential	BSU24140
BG11323	mmgE	non-essential	BSU24130
BG11355	aldX	non-essential	BSU39860
BG11363	iolS	non-essential	BSU39780
BG11386	mdh	non-essential	BSU29120
BG11396	kdgA	non-essential	BSU22100
BG11397	kdgK	non-essential	BSU22110
BG11400	kduD	non-essential	BSU22140
BG11401	kduI	non-essential	BSU22130
BG11478	fbp	non-essential	BSU40190
BG11601	yhcW	non-essential	
BG11685	glcK	non-essential	BSU24850
BG11720	yqiQ	non-essential	
BG11722	ptb	non-essential	BSU24090
BG11724	buk	non-essential	BSU24070
BG11733	yqjD	non-essential	BSU23920
BG11738	yqjI	non-essential	
BG11739	zwf	non-essential	BSU23850
BG11762	nudF	non-essential	BSU23610
BG11818	yktC	non-essential	
BG11837	galE	non-essential	BSU38860
BG11839	malA	non-essential	BSU08180
BG11841	pckA	non-essential	BSU30560
BG11900	abfA	non-essential	BSU28720
BG11902	adhB	non-essential	BSU26970
BG11903	aldY	non-essential	BSU38830
BG11904	araA	non-essential	BSU28800
BG11905	araB	non-essential	BSU28790
BG11906	araD	non-essential	BSU28780
BG12063	ydaP	non-essential	BSU04340
BG12195	ydhR	non-essential	
BG12320	ysfC	non-essential	
BG12366	pgi	non-essential	BSU31350
BG12385	yulC	non-essential	
BG12387	yulE	non-essential	
BG12420	yvdK	non-essential	
BG12421	malL	non-essential	
BG12422	pgcM	non-essential	
BG12439	lacA	non-essential	
BG12558	acoA	non-essential	BSU08060
BG12559	acoB	non-essential	BSU08070
BG12560	acoC	non-essential	BSU08080
BG12561	acoL	non-essential	BSU08090
BG12562	adhA	non-essential	BSU27010
BG12582	dhaS	non-essential	BSU19310
BG12588	fruK	non-essential	BSU14390
BG12592	gapB	non-essential	BSU29020
BG12615	melA	non-essential	BSU30300
BG12630	nagA	non-essential	BSU35010
BG12631	nagB	non-essential	
BG12657	pps	non-essential	BSU18830
BG12660	pycA	non-essential	BSU14860
BG12661	pyk	non-essential	BSU29180
BG12746	gamA	non-essential	
BG12796	ydjE	non-essential	BSU06170
BG12803	ydjL	non-essential	
BG13020	yhdN	non-essential	BSU09530
BG13177	manA	non-essential	BSU12020
BG13204	uxaC	non-essential	BSU12300
BG13207	yjmD	non-essential	BSU12330
BG13208	uxuA	non-essential	BSU12340
BG13212	uxaB	non-essential	BSU12380
BG13213	uxaA	non-essential	BSU12390
BG13393	rpe	non-essential	BSU15790
BG13456	yngE	non-essential	BSU18210
BG13484	yoaN	non-essential	BSU18670
BG13826	ytbE	non-essential	BSU29050
BG13829	ytcB	non-essential	BSU30870
BG13922	ytsJ	non-essential	BSU29220
BG14096	yvgN	non-essential	BSU33400
BG14148	oxdC	non-essential	BSU33240
BG10113	gcaD	essential	BSU00500
BG10225	murD	essential	BSU15200
BG10227	murG	essential	BSU15220
BG10228	murB	essential	BSU15230
BG10449	tagD	essential	BSU35740
BG10450	tagA	essential	BSU35750
BG10451	tagB	essential	BSU35760
BG10725	tagF	essential	BSU35720
BG10973	murC	essential	BSU29790
BG11191	tagH	essential	BSU35700
BG11205	tagG	essential	BSU35710
BG11932	ddl	essential	BSU04560
BG12084	murF	essential	BSU04570
BG12684	tagO	essential	BSU35530
BG11955	murAA	essential	BSU36760
BG10402	gtaB	non-essential	BSU35670
BG10548	dltD	non-essential	BSU38530
BG10549	dltC	non-essential	BSU38520
BG10550	dltB	non-essential	BSU38510
BG10551	dltA	non-essential	BSU38500
BG10724	tagE	non-essential	BSU35730
BG11192	ggaB	non-essential	BSU35680
BG11367	ggaA	non-essential	BSU35690
BG13951	yubB	non-essential	
BG10407	lytC	non-essential	BSU35620
BG10414	murAB	non-essential	BSU37100
BG10455	lytD	non-essential	BSU35780
BG10825	cwlC	non-essential	BSU17410
BG11514	cwlD	non-essential	BSU01530
BG11633	cwlH	non-essential	BSU25710
BG12688	tuaA	non-essential	BSU35609
BG12689	tuaB	non-essential	BSU35600
BG12690	tuaC	non-essential	BSU35590
BG12691	tuaD	non-essential	BSU35580
BG12692	tuaE	non-essential	BSU35570
BG12694	tuaG	non-essential	BSU35550
BG12695	tuaH	non-essential	BSU35540
BG13824	ytaG	essential	
BG13966	yueK	essential	
BG11638	yqeJ	essential	
BG10279	hepS	essential	BSU22760
BG10280	menH	essential	BSU22750
BG10281	hepT	essential	BSU22740
BG10552	menA	essential	BSU38490
BG10683	menD	essential	BSU30820
BG10686	menB	essential	BSU30800
BG10687	menE	essential	BSU30790
BG10694	nadE	essential	BSU03130
BG10795	dfrA	essential	BSU21810
BG11711	folD	essential	BSU24310
BG13847	menC	essential	BSU30780
BG11098	nasF	non-essential	BSU03280
BG11789	amhX	non-essential	BSU03010
BG13115	yitJ	non-essential	
BG13237	ykkE	non-essential	
BG13313	ykvK	non-essential	
BG13361	ylbI	non-essential	
BG13369	ylbQ	non-essential	
BG13380	ylnD	non-essential	
BG13381	ylnE	non-essential	
BG13382	ylnF	non-essential	
BG13388	yloI	non-essential	
BG13965	yueJ	non-essential	
BG10075	yaaD	non-essential	
BG10076	yaaE	non-essential	
BG10137	pabB	non-essential	BSU00740
BG10138	pabA	non-essential	BSU00750
BG10139	pabC	non-essential	BSU00760
BG10140	sul	non-essential	
BG10141	folB	non-essential	BSU00780
BG10142	folK	non-essential	BSU00790
BG10277	mtrA	non-essential	
BG10322	folC	non-essential	BSU28080
BG10342	hemC	non-essential	BSU28150
BG10343	hemD	non-essential	BSU28140
BG10344	hemB	non-essential	BSU28130
BG10345	hemL	non-essential	BSU28120
BG10429	hemE	non-essential	BSU10120
BG10430	hemH	non-essential	BSU10130
BG10431	hemY	non-essential	BSU10140
BG10518	ribD	non-essential	BSU23280
BG10682	menF	non-essential	BSU30830
BG10693	thiL	non-essential	BSU05900
