medium	description	compound	name
M9	ModelSeed	cpd00027	D-Glucose
M9	ModelSeed	cpd00013	NH3
M9	ModelSeed	cpd00009	Phosphate
M9	ModelSeed	cpd00048	Sulfate
M9	ModelSeed	cpd00063	Ca2+
M9	ModelSeed	cpd00011	CO2
M9	ModelSeed	cpd10516	fe3
M9	ModelSeed	cpd00067	H+
M9	ModelSeed	cpd00001	H2O
M9	ModelSeed	cpd00205	K+
M9	ModelSeed	cpd00254	Mg
M9	ModelSeed	cpd00971	Na+
M9	ModelSeed	cpd00007	O2
M9	ModelSeed	cpd00099	Cl-
M9	ModelSeed	cpd00058	Cu2+
M9	ModelSeed	cpd00149	Co2+
M9	ModelSeed	cpd00030	Mn2+
M9	ModelSeed	cpd00034	Zn2+
M9	ModelSeed	cpd10515	Fe2+
M9[glyc]	ModelSeed	cpd00100	Glycerol
M9[glyc]	ModelSeed	cpd00013	NH3
M9[glyc]	ModelSeed	cpd00009	Phosphate
M9[glyc]	ModelSeed	cpd00048	Sulfate
M9[glyc]	ModelSeed	cpd00063	Ca2+
M9[glyc]	ModelSeed	cpd00011	CO2
M9[glyc]	ModelSeed	cpd10516	fe3
M9[glyc]	ModelSeed	cpd00067	H+
M9[glyc]	ModelSeed	cpd00001	H2O
M9[glyc]	ModelSeed	cpd00205	K+
M9[glyc]	ModelSeed	cpd00254	Mg
M9[glyc]	ModelSeed	cpd00971	Na+
M9[glyc]	ModelSeed	cpd00007	O2
M9[glyc]	ModelSeed	cpd00099	Cl-
M9[glyc]	ModelSeed	cpd00058	Cu2+
M9[glyc]	ModelSeed	cpd00149	Co2+
M9[glyc]	ModelSeed	cpd00030	Mn2+
M9[glyc]	ModelSeed	cpd00034	Zn2+
M9[glyc]	ModelSeed	cpd10515	Fe2+
LB	ModelSeed	cpd03424	Vitamin B12
LB	ModelSeed	cpd00215	Pyridoxal
LB	ModelSeed	cpd00028	Heme
LB	ModelSeed	cpd10515	Fe2+
LB	ModelSeed	cpd00030	Mn2+
LB	ModelSeed	cpd00149	Co2+
LB	ModelSeed	cpd00058	Cu2+
LB	ModelSeed	cpd00099	Cl-
LB	ModelSeed	cpd00007	O2
LB	ModelSeed	cpd00034	Zn2+
LB	ModelSeed	cpd00156	L-Valine
LB	ModelSeed	cpd00249	Uridine
LB	ModelSeed	cpd00092	Uracil
LB	ModelSeed	cpd00069	L-Tyrosine
LB	ModelSeed	cpd00065	L-Tryptophan
LB	ModelSeed	cpd00184	Thymidine
LB	ModelSeed	cpd00161	L-Threonine
LB	ModelSeed	cpd00048	Sulfate
LB	ModelSeed	cpd00054	L-Serine
LB	ModelSeed	cpd00220	Riboflavin
LB	ModelSeed	cpd00129	L-Proline
LB	ModelSeed	cpd00644	PAN
LB	ModelSeed	cpd00009	Phosphate
LB	ModelSeed	cpd00066	L-Phenylalanine
LB	ModelSeed	cpd00218	Niacin
LB	ModelSeed	cpd00971	Na+
LB	ModelSeed	cpd00254	Mg
LB	ModelSeed	cpd00060	L-Methionine
LB	ModelSeed	cpd00039	L-Lysine
LB	ModelSeed	cpd00107	L-Leucine
LB	ModelSeed	cpd00205	K+
LB	ModelSeed	cpd00246	Inosine
LB	ModelSeed	cpd00322	L-Isoleucine
LB	ModelSeed	cpd00226	HYXN
LB	ModelSeed	cpd00119	L-Histidine
LB	ModelSeed	cpd00531	Hg2+
LB	ModelSeed	cpd00001	H2O
LB	ModelSeed	cpd00067	H+
LB	ModelSeed	cpd00033	Glycine
LB	ModelSeed	cpd00023	L-Glutamate
LB	ModelSeed	cpd00027	D-Glucose
LB	ModelSeed	cpd00393	Folate
LB	ModelSeed	cpd10516	fe3
LB	ModelSeed	cpd00654	Deoxycytidine
LB	ModelSeed	cpd00438	Deoxyadenosine
LB	ModelSeed	cpd00381	L-Cystine
LB	ModelSeed	cpd11595	chromate
LB	ModelSeed	cpd01012	Cd2+
LB	ModelSeed	cpd00063	Ca2+
LB	ModelSeed	cpd00041	L-Aspartate
LB	ModelSeed	cpd01048	Arsenate
LB	ModelSeed	cpd00051	L-Arginine
LB	ModelSeed	cpd00035	L-Alanine
LB	ModelSeed	cpd00182	Adenosine
LB	ModelSeed	cpd00311	Guanosine
LB	ModelSeed	cpd00126	GMP
LB	ModelSeed	cpd00018	AMP
LB	ModelSeed	cpd00091	UMP
LB	ModelSeed	cpd00046	CMP
LB	ModelSeed	cpd00793	Thiamine phosphate
LB	ModelSeed	cpd00541	Lipoate
LB	ModelSeed	cpd00239	H2S
LB	ModelSeed	cpd00013	NH3
LB	ModelSeed	cpd00244	Ni2+
LB	ModelSeed	cpd11574	Molybdate
M9[DL-lac]	ModelSeed	cpd00013	NH3
M9[DL-lac]	ModelSeed	cpd00009	Phosphate
M9[DL-lac]	ModelSeed	cpd00048	Sulfate
M9[DL-lac]	ModelSeed	cpd00063	Ca2+
M9[DL-lac]	ModelSeed	cpd00011	CO2
M9[DL-lac]	ModelSeed	cpd10516	fe3
M9[DL-lac]	ModelSeed	cpd00067	H+
M9[DL-lac]	ModelSeed	cpd00001	H2O
M9[DL-lac]	ModelSeed	cpd00205	K+
M9[DL-lac]	ModelSeed	cpd00254	Mg
M9[DL-lac]	ModelSeed	cpd00971	Na+
M9[DL-lac]	ModelSeed	cpd00007	O2
M9[DL-lac]	ModelSeed	cpd00099	Cl-
M9[DL-lac]	ModelSeed	cpd00058	Cu2+
M9[DL-lac]	ModelSeed	cpd00149	Co2+
M9[DL-lac]	ModelSeed	cpd00030	Mn2+
M9[DL-lac]	ModelSeed	cpd00034	Zn2+
M9[DL-lac]	ModelSeed	cpd10515	Fe2+
M9[DL-lac]	ModelSeed	cpd00159	L-lactate
M9[DL-lac]	ModelSeed	cpd00221	D-lactate
ShewMM	ModelSeed	cpd00013	NH3
ShewMM	ModelSeed	cpd00009	Phosphate
ShewMM	ModelSeed	cpd00048	Sulfate
ShewMM	ModelSeed	cpd00063	Ca2+
ShewMM	ModelSeed	cpd00011	CO2
ShewMM	ModelSeed	cpd10516	fe3
ShewMM	ModelSeed	cpd00067	H+
ShewMM	ModelSeed	cpd00001	H2O
ShewMM	ModelSeed	cpd00205	K+
ShewMM	ModelSeed	cpd00254	Mg
ShewMM	ModelSeed	cpd00971	Na+
ShewMM	ModelSeed	cpd00007	O2
ShewMM	ModelSeed	cpd00099	Cl-
ShewMM	ModelSeed	cpd00058	Cu2+
ShewMM	ModelSeed	cpd00149	Co2+
ShewMM	ModelSeed	cpd00030	Mn2+
ShewMM	ModelSeed	cpd00034	Zn2+
ShewMM	ModelSeed	cpd10515	Fe2+
ShewMM	ModelSeed	cpd00159	L-lactate
ShewMM	ModelSeed	cpd00221	D-lactate
ShewMM	ModelSeed	cpd03424	Vitamin B12
ShewMM	ModelSeed	cpd00220	Riboflavin
ShewMM	ModelSeed	cpd00393	Folate
ShewMM	ModelSeed	cpd00541	Lipoate
