mip,interacting,non_interacting,size
0,13,13,2
2,27,29,2
2,27,29,2
2,27,29,2
2,28,30,2
2,28,30,2
2,28,30,2
2,28,30,2
7,21,28,2
2,28,30,2
2,28,30,2
2,28,30,2
2,28,30,2
2,29,31,2
2,29,31,2
2,29,31,2
2,29,31,2
2,29,31,2
2,30,32,2
2,32,34,2
2,33,35,2
2,34,36,2
2,35,37,2
2,35,37,2
2,35,37,2
2,37,39,2
2,27,29,2
2,27,29,2
2,27,29,2
2,27,29,2
2,23,25,2
2,23,25,2
2,23,25,2
7,26,33,2
2,24,26,2
2,24,26,2
2,24,26,2
2,24,26,2
2,24,26,2
2,24,26,2
2,24,26,2
2,25,27,2
7,19,26,2
2,25,27,2
2,25,27,2
2,25,27,2
2,25,27,2
2,25,27,2
2,25,27,2
2,25,27,2
2,26,28,2
2,26,28,2
2,26,28,2
2,26,28,2
2,26,28,2
2,27,29,2
2,25,27,2
3,12,15,2
3,12,15,2
3,13,16,2
6,34,40,2
6,34,40,2
3,16,19,2
3,16,19,2
3,16,19,2
6,33,39,2
3,17,20,2
3,17,20,2
3,17,20,2
3,17,20,2
3,17,20,2
3,17,20,2
3,16,19,2
3,17,20,2
3,17,20,2
3,17,20,2
3,17,20,2
6,30,36,2
6,28,34,2
6,28,34,2
6,27,33,2
3,18,21,2
3,18,21,2
3,18,21,2
3,18,21,2
3,18,21,2
3,17,20,2
4,32,36,2
3,16,19,2
3,16,19,2
3,14,17,2
3,14,17,2
3,14,17,2
3,14,17,2
3,14,17,2
3,14,17,2
7,16,23,2
3,14,17,2
3,14,17,2
3,14,17,2
3,15,18,2
3,15,18,2
3,16,19,2
3,15,18,2
3,15,18,2
3,15,18,2
3,15,18,2
3,15,18,2
3,15,18,2
3,15,18,2
3,15,18,2
3,16,19,2
3,16,19,2
3,16,19,2
3,16,19,2
3,16,19,2
3,15,18,2
2,23,25,2
7,27,34,2
2,23,25,2
8,30,38,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,17,19,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,18,20,2
2,19,21,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
2,17,19,2
6,26,32,2
2,19,21,2
2,19,21,2
2,21,23,2
2,21,23,2
2,21,23,2
7,32,39,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,21,23,2
2,22,24,2
2,22,24,2
2,22,24,2
2,22,24,2
2,22,24,2
7,28,35,2
2,22,24,2
2,22,24,2
2,21,23,2
